"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"205019_s_at",-3.18411922394678,5.52995173076923,-12.016494746178,9.69797261486499e-17,3.8679243781557e-15,27.7682181057171
"207549_x_at",4.41607301552107,7.96715826923077,12.0122039522888,9.83382244267138e-17,3.91687703773229e-15,27.7543065081249
"214119_s_at",3.76746441241685,8.07883442307692,12.0101498042892,9.89953859740742e-17,3.93780181784756e-15,27.7476457096623
"218497_s_at",3.04733583148559,8.74338346153846,12.0053673396078,1.00542665035244e-16,3.99403062845457e-15,27.7321359235374
"232540_x_at",-2.31803656319291,6.27405096153846,-12.0044797149317,1.00832521987991e-16,4.00022566978389e-15,27.7292569828116
"235335_at",-2.83037363636363,3.64996288461538,-11.9992240476333,1.02566194905756e-16,4.06360734803665e-15,27.7122085428007
"211797_s_at",2.86594086474501,5.50139596153846,11.9956970450613,1.03746527186032e-16,4.10492716109712e-15,27.7007655686075
"222329_x_at",-2.5380466518847,5.44397692307692,-11.9874278615569,1.06568057710295e-16,4.21098887298896e-15,27.6739307723531
"215780_s_at",3.27491270509978,9.80332634615385,11.9794633957613,1.09359046672788e-16,4.31556512715481e-15,27.6480764376527
"215182_x_at",-2.62673649667406,6.12813384615385,-11.9778950935302,1.09917286849073e-16,4.3318721768369e-15,27.6429844274156
"226197_at",-6.32923197339246,3.77043038461538,-11.976712074537,1.10340292547514e-16,4.34281364857957e-15,27.639143154928
"205292_s_at",1.69267760532151,12.7459384615385,11.9761780911863,1.10531765452456e-16,4.34462556494896e-15,27.6374092470368
"242452_at",-3.30553305986696,3.9154725,-11.9663804443813,1.14105269608008e-16,4.47919411169515e-15,27.6055885435886
"227451_s_at",3.32989106430155,7.47659557692308,11.9589033993201,1.16910879520119e-16,4.58330538570147e-15,27.5812962848327
"229898_at",-1.77807159645232,6.78949711538462,-11.9535275036937,1.18971136389898e-16,4.65796167414867e-15,27.5638259909165
"243526_at",-2.53038982261641,3.86408403846154,-11.9502590797325,1.20241651153331e-16,4.70154299071132e-15,27.5532026107593
"244495_x_at",-2.22515835920177,9.89416730769231,-11.9485651523402,1.20905515745164e-16,4.72132087824219e-15,27.547696281877
"210186_s_at",3.9202255210643,7.7775825,11.9371917186706,1.25459986084567e-16,4.88689837301849e-15,27.5107158307776
"217978_s_at",2.48589416851441,9.85342557692308,11.9371601407159,1.25472870220774e-16,4.88689837301849e-15,27.5106131324405
"224321_at",-4.0638144345898,6.15188134615385,-11.9324088060755,1.27426805086933e-16,4.95653769317961e-15,27.495159290731
"218119_at",3.0553755210643,7.79502153846154,11.9312851322088,1.2789338948997e-16,4.96821745674105e-15,27.4915040835499
"221547_at",2.61925086474502,9.08659038461538,11.9244499593474,1.30769056083288e-16,5.07332988620268e-15,27.4692663702082
"208767_s_at",4.41210554323725,10.0304846153846,11.9218997087024,1.31858675956642e-16,5.10896786881032e-15,27.4609677721529
"209044_x_at",2.25042906873614,8.84307403846154,11.9214517314182,1.32051025449552e-16,5.10979311302391e-15,27.4595099524904
"204267_x_at",2.57920678492239,5.49125807692308,11.9119303467699,1.36207101789122e-16,5.26001979408436e-15,27.4285190532185
"222722_at",-6.09053385809313,4.55395557692308,-11.9117536862344,1.36285452436022e-16,5.26001979408436e-15,27.4279439345067
"213453_x_at",1.63979800443459,14.6197903846154,11.9107917016857,1.36712903054102e-16,5.26970910056152e-15,27.424812120955
"209763_at",-6.65010514412417,5.22368423076923,-11.9097605799255,1.37172581162469e-16,5.28061406838457e-15,27.4214550927455
"212481_s_at",3.44016319290466,7.75679,11.9084441320493,1.37761733132681e-16,5.29646879520282e-15,27.4171689265485
"226456_at",3.5453456984479,7.39634326923077,11.9051235928868,1.39259182209506e-16,5.34715880481306e-15,27.4063567273522
"203022_at",3.42419631929047,8.05793346153846,11.8978280084977,1.42607365996954e-16,5.46869042930298e-15,27.3825961338159
"200934_at",1.86846940133038,12.2904980769231,11.892546392854,1.45082015803673e-16,5.55645520269631e-15,27.3653904207919
"213696_s_at",2.79896620842572,8.03892538461538,11.8839683552791,1.49194150028648e-16,5.70662848118539e-15,27.3374383788727
"242033_at",-2.01303800443459,3.34538423076923,-11.8832660395031,1.4953600607506e-16,5.71239016557578e-15,27.3351494191513
